filename,alias,location
20170915_CBN_XSSCB2017_13.mzXML,China_13,China
20170915_CBN_XSSCB2017_24.mzXML,China_24,China
20170915_CBN_XSSCB2017_25.mzXML,China_25,China
2019-08-23_CBN_KHI-18-1.mzXML,India_KHI,India
2019-08-23_CBN_KP-16-1.mzXML,India_KP,India
2019-08-23_CBN_KPL-18-1.mzXML,India_KPL,India
2019-08-23_CBN_KSP-18-1.mzXML,India_KSP,India
2200.mzXML,Saipan_00,Saipan
2209.mzXML,Saipan_09,Saipan
2220.mzXML,AmSam_20,AmSam
2223.mzXML,AmSam_23,AmSam
2232.mzXML,Saipan_32,Saipan
2246.mzXML,Guam_46,Guam
2247.mzXML,Guam_47,Guam
Mb.mzXML,PNG_c,PNG
